学号,院级总加分
16331001,0.0
16331002,0.0
16331003,0.0
16331004,0.0
16331005,0.0
16331006,0.0
16331007,0.0
16331008,0.0
16331009,0.0
16331010,0.0
16331011,0.0
16331012,0.0
16331013,0.0
16331014,0.0
16331015,0.0
16331016,0.0
16331017,0.0
16331018,0.0
16331019,0.0
16331020,0.0
16331021,0.0
16331022,0.0
16331023,0.0
16331024,0.0
16331025,0.0
16331026,0.0
16331027,0.0
16331028,0.0
16331029,0.0
16331030,0.0
16331031,0.0
16331032,0.0
16331033,0.0
16331034,0.0
16331035,0.0
16331036,0.0
16331037,0.0
16331038,0.0
16331039,0.0
16331040,0.0
16331041,0.0
16331042,0.0
16331043,0.0
16331044,0.0
16332001,0.0
16332002,0.0
16332003,0.0
16332004,0.0
16332005,0.0
16332006,0.0
16332007,0.0
16332008,0.0
16332009,0.0
16332010,0.0
16332011,0.0
16332012,0.0
16332013,0.0
16332014,0.0
16332015,0.0
16332016,0.0
16332017,0.0
16332018,0.0
16332019,0.0
16332020,0.0
16332021,0.0
16332022,0.0
16332023,0.0
16332024,0.0
16332025,0.0
16332026,0.0
16332027,0.0
16332028,0.0
16332029,0.0
16332030,0.0
16332031,0.0
16332032,0.0
16332033,0.0
16332034,0.0
16332035,0.0
16332036,0.0
16332037,0.0
16332038,0.0
16332039,0.0
16332040,0.0
16332041,0.0
16332042,0.0
16332043,0.0
16332044,0.0
16332045,0.0
16332046,0.0
16332047,0.0
16332048,0.0
16332049,0.0
16332050,0.0
16332051,0.0
16332052,0.0
16332053,0.0
16332054,0.0
16332055,0.0
16332056,0.0
16332057,0.0
16332058,0.0
16332059,0.0
16332060,0.0
16332061,0.0
16332062,0.0
16332063,0.0
16332064,0.0
16332065,0.0
16332066,0.0
16332067,0.0
16332068,0.0
16332069,0.0
16332070,0.0
16332071,0.0
16332072,0.0
16332073,0.0
16332074,0.0
16332075,0.0
16332076,0.0
16332077,0.0
16332078,0.0
16332079,0.0
16332080,0.0
16332081,0.0
16332082,0.0
16332083,0.0
16332084,0.0
16332085,0.0
16332086,0.0
16332087,0.0
16332088,0.0
16332089,0.0
16332090,0.0
16332091,0.0
16332092,0.06
16332093,0.0
16332094,0.0
16332095,0.0
16332096,0.0
16332097,0.0
16332098,0.0
16332099,0.0
16332100,0.0
16332101,0.0
16332102,0.0
16332103,0.0
16332104,0.0
16332105,0.0
16332106,0.0
16332107,0.0
16332108,0.0
16332109,0.0
16332110,0.0
16332111,0.0
16332112,0.0
16332113,0.0
16332114,0.0
16332115,0.0
16332116,0.0
16332117,0.0
16332118,0.0
16332119,0.0
16332120,0.0
16332121,0.0
16332122,0.0
16332123,0.0
16332124,0.0
16332125,0.0
16332126,0.0
16332127,0.0
16332128,0.0
16332129,0.0
16332130,0.0
16332131,0.0
16332132,0.0
16332133,0.0
16332134,0.0
16332135,0.0
16332136,0.0
16332137,0.0
16332138,0.0
16332139,0.0
16332140,0.0
16332141,0.0
16332142,0.0
16332143,0.0
16332144,0.0
16332145,0.0
16332146,0.0
16332147,0.0
16332148,0.0
16332149,0.0
16332150,0.0
16332151,0.0
16332152,0.0
16332153,0.0
16332154,0.0
16332155,0.0
16332156,0.0
16332157,0.0
16332158,0.0
16332159,0.0
16332160,0.0
16332161,0.0
16332162,0.0
16332163,0.0
16332164,0.0
16332165,0.0
16332166,0.0
16332167,0.0
16332168,0.0
16332169,0.0
16332170,0.0
16332171,0.0
16332172,0.0
16332173,0.0
16332174,0.0
16332175,0.0
16332176,0.0
16332177,0.0
16332178,0.0
16332179,0.0
16332180,0.0
16332181,0.0
16332182,0.0
16332183,0.0
16332184,0.0
16332185,0.0
16332186,0.0
16332187,0.0
16332188,0.0
16332189,0.0
16332190,0.0
16332191,0.0
16332192,0.0
16332193,0.0
16332194,0.0
16332195,0.0
16332196,0.0
16332197,0.0
16332198,0.0
16332199,0.0
16332200,0.0
16332201,0.0
16332202,0.0
16332203,0.0
16332204,0.0
16332205,0.0
16332206,0.0
16332207,0.0
16332208,0.0
16332209,0.0
16332210,0.0
16332211,0.0
16332212,0.0
16332213,0.0
16332214,0.0
16332215,0.0
16332216,0.0
16332217,0.0
16332218,0.0
16332219,0.0
16332220,0.0
16332221,0.0
16332222,0.0
16332223,0.0
16332224,0.0
16332225,0.0
16332226,0.0
16332227,0.0
16332228,0.0
16332229,0.0
16332230,0.0
16332231,0.0
16332232,0.0
16332233,0.0
16332234,0.0
16332235,0.0
16332236,0.0
16332237,0.0
16332238,0.0
16332239,0.0
16332240,0.0
16332241,0.0
16332242,0.0
16332243,0.0
16332244,0.0
16332245,0.0
16332246,0.0
16332247,0.0
16332248,0.0
16332249,0.0
16332250,0.0
16332251,0.0
16332252,0.0
lzt68,0.0
